x_m,y_m,height_m,estimated_friction,scm_sinkage_demo_m,source
-2.100,-0.100,0.05901,0.5779,0.00457,pychrono
-2.100,0.000,0.05959,0.5774,0.00470,pychrono
-2.100,0.100,0.05901,0.5779,0.00457,pychrono
-2.100,0.200,0.05727,0.5791,0.00420,pychrono
-2.100,0.300,0.05441,0.5811,0.00364,pychrono
-2.100,0.400,0.05049,0.5839,0.00298,pychrono
-2.100,0.500,0.04558,0.5874,0.00230,pychrono
-2.100,0.600,0.03978,0.5916,0.00168,pychrono
-2.100,0.700,0.03319,0.5963,0.00116,pychrono
-2.100,0.800,0.02596,0.6015,0.00076,pychrono
-2.100,0.900,0.01822,0.6070,0.00046,pychrono
-2.100,1.000,0.01013,0.6128,0.00027,pychrono
-2.100,1.100,0.00183,0.6187,0.00015,pychrono
-2.100,1.200,-0.00649,0.6154,0.00008,pychrono
-2.100,1.300,-0.01470,0.6095,0.00004,pychrono
-2.100,1.400,-0.02261,0.6038,0.00002,pychrono
-2.100,1.500,-0.03008,0.5985,0.00001,pychrono
-2.100,1.600,-0.03697,0.5936,0.00000,pychrono
-2.100,1.700,-0.04313,0.5892,0.00000,pychrono
-2.100,1.800,-0.04845,0.5854,0.00000,pychrono
-2.100,1.900,-0.05281,0.5823,0.00000,pychrono
-2.100,2.000,-0.05615,0.5799,0.00000,pychrono
-2.000,-2.000,-0.04170,0.5902,0.00000,pychrono
-2.000,-1.900,-0.03922,0.5920,0.00000,pychrono
-2.000,-1.800,-0.03597,0.5943,0.00000,pychrono
-2.000,-1.700,-0.03203,0.5971,0.00000,pychrono
-2.000,-1.600,-0.02745,0.6004,0.00000,pychrono
-2.000,-1.500,-0.02234,0.6040,0.00001,pychrono
-2.000,-1.400,-0.01679,0.6080,0.00002,pychrono
-2.000,-1.300,-0.01091,0.6122,0.00005,pychrono
-2.000,-1.200,-0.00482,0.6166,0.00010,pychrono
-2.000,-1.100,0.00136,0.6190,0.00020,pychrono
-2.000,-1.000,0.00752,0.6146,0.00036,pychrono
-2.000,-0.900,0.01353,0.6103,0.00063,pychrono
-2.000,-0.800,0.01928,0.6062,0.00102,pychrono
-2.000,-0.700,0.02465,0.6024,0.00157,pychrono
-2.000,-0.600,0.02954,0.5989,0.00227,pychrono
-2.000,-0.500,0.03385,0.5958,0.00311,pychrono
-2.000,-0.400,0.03749,0.5932,0.00402,pychrono
-2.000,-0.300,0.04041,0.5911,0.00491,pychrono
-2.000,-0.200,0.04253,0.5896,0.00566,pychrono
-2.000,-0.100,0.04382,0.5887,0.00617,pychrono
-2.000,0.000,0.04425,0.5884,0.00635,pychrono
-2.000,0.100,0.04382,0.5887,0.00617,pychrono
-2.000,0.200,0.04253,0.5896,0.00566,pychrono
-2.000,0.300,0.04041,0.5911,0.00491,pychrono
-2.000,0.400,0.03749,0.5932,0.00402,pychrono
-2.000,0.500,0.03385,0.5958,0.00311,pychrono
-2.000,0.600,0.02954,0.5989,0.00227,pychrono
-2.000,0.700,0.02465,0.6024,0.00157,pychrono
-2.000,0.800,0.01928,0.6062,0.00102,pychrono
-2.000,0.900,0.01353,0.6103,0.00063,pychrono
-2.000,1.000,0.00752,0.6146,0.00036,pychrono
-2.000,1.100,0.00136,0.6190,0.00020,pychrono
-2.000,1.200,-0.00482,0.6166,0.00010,pychrono
-2.000,1.300,-0.01091,0.6122,0.00005,pychrono
-2.000,1.400,-0.01679,0.6080,0.00002,pychrono
-2.000,1.500,-0.02234,0.6040,0.00001,pychrono
-2.000,1.600,-0.02745,0.6004,0.00000,pychrono
-2.000,1.700,-0.03203,0.5971,0.00000,pychrono
-2.000,1.800,-0.03597,0.5943,0.00000,pychrono
-2.000,1.900,-0.03922,0.5920,0.00000,pychrono
-2.000,2.000,-0.04170,0.5902,0.00000,pychrono
-1.900,-2.000,-0.02589,0.6015,0.00000,pychrono
-1.900,-1.900,-0.02436,0.6026,0.00000,pychrono
-1.900,-1.800,-0.02234,0.6040,0.00000,pychrono
-1.900,-1.700,-0.01989,0.6058,0.00000,pychrono
-1.900,-1.600,-0.01705,0.6078,0.00001,pychrono
-1.900,-1.500,-0.01387,0.6101,0.00001,pychrono
-1.900,-1.400,-0.01043,0.6126,0.00003,pychrono
-1.900,-1.300,-0.00678,0.6152,0.00007,pychrono
-1.900,-1.200,-0.00300,0.6179,0.00014,pychrono
-1.900,-1.100,0.00085,0.6194,0.00027,pychrono
