schema_id,run_id,artifact_path,artifact_type,producer_script,producer_hash,artifact_hash,image_width_px,image_height_px,render_backend,camera_or_layout,camera_eye,camera_target,camera_fov_deg,visible_component_ids,source,evidence_level
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/component_catalog_atlas.png,render_png,code/common/generate_component_catalog_atlas_render.py,4485eeb6f818f481489298a4f9c44659205a75aa0357aed7939d1c5d179e30e6,573d92b31284c1e6b8323b8e75dc7dcece421385de0c4f0cf5b753be84e0af3d,2113,1176,matplotlib Agg render,see producer script,,,,runtime.system;vehicle.chassis;terrain.interface;collision.system_lifecycle;data.artifact_manifest,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/core_physics_solver_constraint_catalog.png,render_png,code/common/generate_core_physics_solver_constraint_catalog_render.py,b0bbfb74f6218ff09069cdfac68be0ab7177392419a1afe2044881dec32c2802,ff7d81781c89420876632e72654b79e8120f502b45d37454d81f570c4ec90bc2,2041,1123,matplotlib Agg render,see producer script,,,,runtime.system;core.body;core.visual_asset;core.link_constraint,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/data_visualization_artifact_catalog.png,render_png,code/data_visualization/generate_data_visualization_artifact_catalog_render.py,71c7e9fe9e5f33b8745554a1a30c36b7cffab46aecfe2c2bc8d59d3cdcac5d5c,94105b95fb3c2f1bd90edd4cdf11a4a941916d2a6a00b283aacdfc3a580a209b,2257,1213,matplotlib Agg render,see producer script,,,,data.artifact_manifest;visual.runtime;sensor.output_writer,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/data_visualization_sensor_components.png,render_png,code/data_visualization/generate_data_visualization_sensor_components_render.py,aa0b0725c68cfe27e132b2d5756cf95284ef1760f6b0a9b33a775e8a00ecf9e6,79998a4031cc88f484466b5a1a9870ba9dfccd4765e3052017b599781514ab63,1628,1025,matplotlib Agg render,see producer script,,,,data.artifact_manifest;visual.runtime;sensor.output_writer,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/data_visualization_sensor_pipeline_catalog.png,render_png,code/data_visualization/generate_data_visualization_sensor_pipeline_catalog_render.py,b1d8ae9ef4770dd80981868e4bb35b574a259da0bdd200ffca198d6aff461ec4,7fe7129b4bdc6f69ceaef7b4f3f717dca8dd0bfb1a7ac86f27486a6ded942447,2113,1212,matplotlib Agg render,see producer script,,,,data.artifact_manifest;visual.runtime;sensor.output_writer,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/external_integration_component_map.png,render_png,code/common/generate_external_integration_component_map_render.py,47e9e0036c3c6cfc795522550dc90ced9a1f23aa7563a0709a07474d5a983b02,89d3bfad1479a605da7e4af822713b012c75df9a659615d0df060b0849fd4c7d,2005,1139,matplotlib Agg render,see producer script,,,,model.spec_resolver;model.urdf_import;asset.cad_step;integration.ros;integration.fmi,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/flexible_body_fea_modal_component_catalog.png,render_png,code/common/generate_flexible_body_fea_modal_component_catalog_render.py,082d874d01bced4982470e6fa2a17d01a69f940ba711604dec59fd6357f8aa60,b94816dd8ae512aaa0b001e29d9612367578e0d10305e939d6dba9744d6b1704,2113,1195,matplotlib Agg render,see producer script,,,,flex.mesh;flex.material_section;flex.modal_reduction,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/rover_axle_joint_component.png,render_png,code/rover_vehicle/generate_rover_axle_joint_component_render.py,dc0960ac3d43aa8dbd01580cae835c8c682aa1d6965e9b8c54211ecda98bc142,604c7669f3794a7aef47303df4aa854858012523034cfd3d32fdb595ce3efab4,1033,1033,matplotlib Agg render,see producer script,,,,vehicle.chassis;vehicle.wheel;vehicle.axle;core.visual_asset,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/rover_driver_input_controller_component.png,render_png,code/rover_vehicle/generate_rover_driver_input_controller_component_render.py,ec8268e76ec6c1329dc0b28662c1747e1c4e7af93d9f8cccedf47da61f483ec4,9b206957dd38ef2c321be56df5c9b4bfb60033561fbc684c9f85eb953de26800,2221,1195,matplotlib Agg render,see producer script,,,,core.function_input;vehicle.steering;vehicle.powertrain;vehicle.brake,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/rover_initial_state_component.png,render_png,code/rover_vehicle/generate_rover_initial_state_component_render.py,39d9fc95d256cc2ddbc0335fac6fba09ea2ed018375c53411589a2ed9ecaed30,f2fc322190ef5a6ec81096f6db34f0ce80c05270175084643fb051dec8a55e81,1033,1033,matplotlib Agg render,see producer script,,,,vehicle.chassis;vehicle.wheel;vehicle.axle;core.visual_asset,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/rover_motor_drive_component.png,render_png,code/rover_vehicle/generate_rover_motor_drive_component_render.py,007a4fdd795b5d557dee0e39376d284f2fa0c2d77474988fabfa789ca18c1e9f,f0ec9fb81b75de25905216e4712e2af4981d4acfcf028c8900466df166d32970,1056,1033,matplotlib Agg render,see producer script,,,,vehicle.chassis;vehicle.wheel;vehicle.axle;core.visual_asset,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/rover_payload_sensor_mount_component.png,render_png,code/rover_vehicle/generate_rover_payload_sensor_mount_component_render.py,65b618ef775d595f433f0019fabeefec4f6cc9ce76ed686d7e48fbee1a735a55,812135343380099aefa3db2f0447a19f448104c459a4ecd13a7418357cc99053,1033,1033,matplotlib Agg render,see producer script,,,,vehicle.chassis;vehicle.wheel;vehicle.axle;core.visual_asset,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/rover_powertrain_driveline_brake_tire_flow.png,render_png,code/rover_vehicle/generate_rover_powertrain_driveline_brake_tire_flow_render.py,026e64d059853a1c6d7c9af4eff44ada32c2aa02ddc04f0b209a2b6f98e5fa4b,0d914e0de49eba9cf2812d0ff558f5e6c461d62440678a98d47182d85efb7566,2239,1213,matplotlib Agg render,see producer script,,,,vehicle.powertrain;vehicle.driveline;vehicle.brake;vehicle.tire_model,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/rover_steering_component.png,render_png,code/rover_vehicle/generate_rover_steering_component_render.py,7e3367684b38f9a5244f05d31d0b8100b2e2c545829f70c3e2b271bfef1c2eea,631ac22150cdfb47be52b01d640cbde6aa2e8c587b08ebf93a2895f5d34726de,1033,1033,matplotlib Agg render,see producer script,,,,vehicle.chassis;vehicle.wheel;vehicle.axle;core.visual_asset,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/rover_suspension_steering_components.png,render_png,code/rover_vehicle/generate_rover_suspension_steering_components_render.py,771108b3fb8bcc069a78e08e46be842c37d03943e49aae9e4c07e98b00750a69,7e8fb933dd2ee8b417a8bed98aa2a5e33e00314222867ecf6564748dba26cd0b,1033,1033,matplotlib Agg render,see producer script,,,,vehicle.chassis;vehicle.wheel;vehicle.axle;core.visual_asset,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/rover_vehicle_component_overview.png,render_png,code/rover_vehicle/generate_rover_vehicle_component_overview_render.py,dd647147766cb59a08b452a06674bedf674efed8f7adbe38b64bdc20a0cc403e,874725fc6d44b82a4afcacc328fb5c2d7935ef0c690099dc350e6ea751974ba0,1033,1033,matplotlib Agg render,see producer script,,,,vehicle.chassis;vehicle.wheel;vehicle.axle;core.visual_asset,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/rover_vehicle_subsystem_ownership_map.png,render_png,code/rover_vehicle/generate_rover_vehicle_subsystem_ownership_map_render.py,b8e60875ac2fbb1545df4e321c6341a754bc3e5af0230daa16909de162d8d4d0,4efc585a9b02320ca044d94f9d26e54751533bac810c3d1a541320ae061cc60d,2027,1195,matplotlib Agg render,see producer script,,,,vehicle.chassis;vehicle.wheel;vehicle.axle;core.visual_asset,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/rover_visual_collision_shapes.png,render_png,code/rover_vehicle/generate_rover_visual_collision_shapes_render.py,6e210e713df3da5fe92447ca75b1cf19e743e525462fb77becb572d225e654fb,b12b334eec2b2cc1ea9ca9974e0cf8d5ef7d6667b5f70d4d4e39567687182669,1789,902,matplotlib Agg render,see producer script,,,,vehicle.chassis;vehicle.wheel;vehicle.axle;core.visual_asset,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/rover_wheel_tire_component.png,render_png,code/rover_vehicle/generate_rover_wheel_tire_component_render.py,e4c8e8cab206e241b862335c33bf9866aa59334ed8a7f022e4cfb04c8ac8c53d,9e731f0a5fbda5598306f03b31ba1f7cdd004546426d418d156991b7c4e9045a,925,925,matplotlib Agg render,see producer script,,,,vehicle.chassis;vehicle.wheel;vehicle.axle;core.visual_asset,concept_render,concept_render
